"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Adder","thrpt",4,10,124422586.397903,27631181.443284,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Adder:getAdder","thrpt",4,10,51501361.282687,9501423.506434,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Adder:incAdder","thrpt",4,10,72921225.115216,19479123.249595,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Atomic","thrpt",4,10,84860572.325682,12991257.235146,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Atomic:getAtomic","thrpt",4,10,44929365.406605,10277093.418419,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Atomic:incAtomic","thrpt",4,10,39931206.919076,2752474.511784,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockFair","thrpt",4,10,356576.321466,4902.402375,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockFair:getFairLock","thrpt",4,10,178287.012644,2450.087844,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockFair:incFairLock","thrpt",4,10,178289.308822,2452.329072,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockNonFair","thrpt",4,10,35607910.136385,1434737.984114,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockNonFair:getNonFairLock","thrpt",4,10,14864881.961028,1137492.343997,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.LockNonFair:incNonFairLock","thrpt",4,10,20743028.175357,1035466.021618,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockFair","thrpt",4,10,413427.342076,286887.458473,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockFair:getFairRWLock","thrpt",4,10,186449.478950,46610.743732,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockFair:incFairRWLock","thrpt",4,10,226977.863126,240318.211206,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockNonFair","thrpt",4,10,22992989.270847,513363.561929,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockNonFair:getNonFairRWLock","thrpt",4,10,7046670.143135,469168.415853,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.RWLockNonFair:incNonFairRWLock","thrpt",4,10,15946319.127711,432605.562970,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreFair","thrpt",4,10,351456.150271,6090.093088,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreFair:getFairSemaphore","thrpt",4,10,175754.216688,3075.543715,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreFair:incFairSemaphore","thrpt",4,10,175701.933583,3019.766976,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreNonFair","thrpt",4,10,29899284.773620,1655481.942654,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreNonFair:getNonFairSemaphore","thrpt",4,10,14908998.446553,1383488.576351,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SemaphoreNonFair:incNonFairSemaphore","thrpt",4,10,14990286.327066,1075029.982760,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Stamped","thrpt",4,10,25356590.313022,2529473.333196,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Stamped:getStamped","thrpt",4,10,202323.256543,36224.679139,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Stamped:incStamped","thrpt",4,10,25154267.056479,2542798.448665,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.StampedOptimistic","thrpt",4,10,72774887.256271,9381704.224195,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.StampedOptimistic:getOptimisticStamped","thrpt",4,10,47374079.405924,9639152.780349,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.StampedOptimistic:incOptimisticStamped","thrpt",4,10,25400807.850347,1562978.915940,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Synchronized","thrpt",4,10,22349862.489678,856481.483805,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Synchronized:getSynchronized","thrpt",4,10,9011863.339833,562048.052462,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Synchronized:incSynchronized","thrpt",4,10,13337999.149845,1072018.229051,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SynchronizedMethod","thrpt",4,10,23101077.202919,598951.237680,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SynchronizedMethod:getSynchronizedMethod","thrpt",4,10,10903602.609725,639730.468103,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.SynchronizedMethod:incSynchronizedMethod","thrpt",4,10,12197474.593194,892875.126092,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Volatile","thrpt",4,10,145336921.025609,48291805.878885,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Volatile:getVolatile","thrpt",4,10,102464779.416128,39872906.962770,"ops/s"
"com.github.chrishantha.microbenchmark.counter.CounterBenchmark.Volatile:incVolatile","thrpt",4,10,42872141.609482,8452501.210426,"ops/s"
